FIRST_NAME LAST_NAME NAME WINS 
Tyus Battle UNC 14 
Jonathan Radner UNC 14 
Evan Dourdas UNC 14 
Mike Sutton UNC 14 
Shaun Belbey UNC 14 
Ky Feldman UNC 14 
Adrian Autry UNC 14 
Doyin Akintobi-Adeyeye UNC 14 
Ray Featherston UNC 14 
Paschal Chukwu UNC 14 
Frank Howard UNC 14 
Tyler Roberson UNC 14 
DaJuan Coleman UNC 14 
Taurean Thompson UNC 14 
John Gillon UNC 14 
Tyler Lydon UNC 14 
Andrew WhiteIII UNC 14 
Xavier Rathan-Mayes FloridaState 12 
Terance Mann FloridaState 12 
PJ Savoy FloridaState 12 
Michael Ojo FloridaState 12 
Trent Forrest FloridaState 12 
CJ Walker FloridaState 12 
Braian Angola FloridaState 12 
Jarquez Smith FloridaState 12 
Christ Koumadje FloridaState 12 
Brandon Allen FloridaState 12 
Phil Cofer FloridaState 12 
Donovan Mitchell Louisville 12 
Quentin Snider Louisville 12 
Deng Adel Louisville 12 
Jaylen Johnson Louisville 12 
Mangok Mathiang Louisville 12 
Ray Spalding Louisville 12 
Anas Mahmoud Louisville 12 
V.J. King Louisville 12 
Aaron Rohlman NotreDame 12 
Ryan McMahon Louisville 12 
David Levitch Louisville 12 
Matz Stockman Louisville 12 
Jay Henderson Louisville 12 
Tyler Sharpe Louisville 12 
Tony Hicks Louisville 12 
Kanler Coker NotreDame 12 
Shea Rush NotreDame 12 
Stilman White NotreDame 12 
Seventh Woods NotreDame 12 
Brandon Robinson NotreDame 12 
Nate Britt NotreDame 12 
Luke Maye NotreDame 12 
Theo Pinson NotreDame 12 
Justin Jackson NotreDame 12 
Joel BerryII NotreDame 12 
Kennedy Meeks NotreDame 12 
Isaiah Hicks NotreDame 12 
Tony Bradley NotreDame 12 
Kenny Williams NotreDame 12 
Dwayne Bacon FloridaState 12 
Jonathan Isaac FloridaState 12 
Luke Kennard Duke 11 
Jayson Tatum Duke 11 
Grayson Allen Duke 11 
Frank Jackson Duke 11 
Amile Jefferson Duke 11 
Matt Jones Duke 11 
Harry Giles Duke 11 
Chase Jeter Duke 11 
Antonio Vrankovic Duke 11 
Jack White Duke 11 
Javin DeLaurier Duke 11 
Marques Bolden Duke 11 
Justin Robinson Duke 11 
Nick Pagliuca Duke 11 
Brennan Besser Duke 11 
London Perrantes Virginia 11 
Austin Nichols Virginia 11 
Marial Shayok Virginia 11 
Devon Hall Virginia 11 
Kyle Guy Virginia 11 
Isaiah Wilkins Virginia 11 
Darius Thompson Virginia 11 
Ty Jerome Virginia 11 
Jarred Reuter Virginia 11 
Mamadi Diakite Virginia 11 
Jack Salt Virginia 11 
Justice Bartley Virginia 11 
Jeff Jones Virginia 11 
Trevon GrossJr. Virginia 11 
Ryan Luther Syracuse 10 
Jonathan Milligan Syracuse 10 
Rozelle Nix Syracuse 10 
Justice Kithcart Syracuse 10 
Ryan Seelye Syracuse 10 
Corey Manigault Syracuse 10 
Damon Wilson Syracuse 10 
Zach Smith Syracuse 10 
Ja'Quan Newton Miami 10 
Davon Reed Miami 10 
Zach LeDay VirginiaTech 10 
Seth Allen VirginiaTech 10 
Chris Clarke VirginiaTech 10 
Ahmed Hill VirginiaTech 10 
Justin Robinson VirginiaTech 10 
Justin Bibbs VirginiaTech 10 
Ty Outlaw VirginiaTech 10 
Khadim Sy VirginiaTech 10 
Johnny Hamilton VirginiaTech 10 
Matt Galloway VirginiaTech 10 
Greg Donlon VirginiaTech 10 
Chris Stowell Miami 10 
Mike Robinson Miami 10 
Rodney MillerJr. Miami 10 
Ebuka Izundu Miami 10 
Dewan Huell Miami 10 
Dejan Vasiljevic Miami 10 
Anthony LawrenceII Miami 10 
Kamari Murphy Miami 10 
Bruce BrownJr. Miami 10 
Mike Young Syracuse 10 
Jamel Artis Syracuse 10 
Cameron Johnson Syracuse 10 
Sheldon Jeter Syracuse 10 
Chris Jones Syracuse 10 
Trent VanHorn WakeForest 9 
Rich Washington WakeForest 9 
Anthony Bilas WakeForest 9 
Britton Anderson WakeForest 9 
Bryant Crawford WakeForest 9 
Keyshawn Woods WakeForest 9 
John Collins WakeForest 9 
Konstantinos Mitoglou WakeForest 9 
Austin Arians WakeForest 9 
Mitchell Wilbekin WakeForest 9 
Brandon Childress WakeForest 9 
Doral Moore WakeForest 9 
Greg McClinton WakeForest 9 
Donovan Mitchell WakeForest 9 
Sam Japhet-Mathias WakeForest 9 
Aaron Spivey WakeForest 9 
Troy Rike WakeForest 9 
Josh Heath GeorgiaTech 8 
Quinton Stephens GeorgiaTech 8 
Tadric Jackson GeorgiaTech 8 
Ben Lammers GeorgiaTech 8 
Josh Okogie GeorgiaTech 8 
Rand Rowland GeorgiaTech 8 
Jodan Price GeorgiaTech 8 
Norman Harris GeorgiaTech 8 
Shaheed Medlock GeorgiaTech 8 
Abdoulaye Gueye GeorgiaTech 8 
Kellen McCormick GeorgiaTech 8 
Sylvester Ogbonda GeorgiaTech 8 
Corey Heyward GeorgiaTech 8 
Christian Matthews GeorgiaTech 8 
Justin Moore GeorgiaTech 8 
